es,guh
Quiero ir.,Jitsipajë taponaejawa.
Quiero que usted vaya.,Jitsipajë neponaejawa.
Quiero que él/ella vaya.,Jitsipajë peponaejawa.
Quiero que vayamos (exclusivo).,Jitsipajë pataponaejawa.
Quiero que vayamos (inclusivo).,Jitsipajë wajaponaejawa.
Quiero que ustedes vayan.,Jitsipajë paneponaejawa.
Quiero que ellos/ellas vayan.,Jitsipajë peponaejawa.
El rayo relampaguea.,Yamaxë binebinejai.
Somos nosotros. (Hablando por todos),Paxanë raja.
Bueno. Estamos los dos (sentados) aquí. Sigan.,Je. Paecajëbeje rabaja. Pajonemena.
Bueno. (Entran),Je.
Allá está (parado) un asiento. Siéntese.,Naejawayo nuca. Paenare.
Bueno (gracias). (se sientan),Je.
estar lleno (el estómago); estar satisfecho,penia
excavar; tejer,cua
tejer (una hamaca),yacua
pegar (con la mano),bia
pelear,nabia
echar,jia
llorar,nua
entrar,junua
nadar,jua
selva; monte,unu
sabana,wayafo
lago; laguna,puca
esta cosa,maxuaje
aquella cosa,bajaraxua
¿Cómo se llama?,¿Detsa pawënë?
tierra; suelo,ira
región; mundo,nacua
olvidar; olvidarse,nacofënëta
mentir,najumetsënëta
¿Cómo se llama esto?,¿Detsa pawënë maxuaje?
¿Cómo se llama aquella cosa?,¿Detsa pawënë bajaraxua?
¿Cómo se llama él?,¿Detsa pawënënë ponë?
¿Cómo se llama ella?,¿Detsa pawënëwa?
¿Cómo se llama usted?,¿Detsa pawënëmë xamë?
yo tejo; yo tejí,xanë yacuajë
yo tejeré,xanë yacuenajë
yo tejería,xanë yacuejitsipajë
usted teje; usted tejió,xamë yacuame
usted tejerá,xamë yacuename
usted tejería,xamë yacuejitsipame
él teje; ella teje,ponë/powa yacua
él tejerá; ella tejerá,ponë/powa yacuena
él tejería; ella tejería,ponë/powa yacuejitsipa
nosotros tejemos (exclusivo),paxanë payacuajë
nosotros tejeremos (exclusivo),paxanë payacuenajë
nosotros tejeríamos (exclusivo),paxanë payacuejitsipajë
nosotros tejemos (inclusivo),waxaitsi yacuatsi
nosotros tejeremos (inclusivo),waxaitsi yacuenatsi
nosotros tejeríamos (inclusivo),waxaitsi yacuejitsipatsi
ustedes tejen; ustedes tejieron,paxamë payacuame
ustedes tejerán,paxamë payacuename
ustedes tejerían,paxamë payacuejitsipame
ellos tejen; ellas tejen,pamonae yacua
ellos tejerán; ellas tejerán,pamonae yacuena
ellos tejerían; ellas tejerían,pamonae yacuejitsipa
¡teja (usted)!,xamë yacuema
¡no teja (usted)!,xamë pëtsa yacuame
¡que teja (él/ella)!,ponë/powa yacue
¡que no teja (él/ella)!,ponë/powa pëtsa yacua
¡tejan (ustedes)!,paxamë payacuema
¡no tejan (ustedes)!,paxamë pëtsa payacuame
¡que tejan (ellos/ellas)!,pamonae yacue
¡que no tejan (ellos/ellas)!,pamonae pëtsa yacua
yo estoy satisfecho; yo estuve satisfecho,xanë peniajë
yo estaré satisfecho,xanë penenajë
yo estaría satisfecho,xanë penejitsipajë
usted está satisfecho; usted estuvo satisfecho,xamë peniame
usted estará satisfecho,xamë penename
usted estaría satisfecho,xamë penejitsipame
él está satisfecho; ella está satisfecha,ponë/powa penia
él estará satisfecho; ella estará satisfecha,ponë/powa penena
él estaría satisfecho; ella estaría satisfecha,ponë/powa penejitsipa
nosotros estamos satisfechos (exclusivo),paxanë papeniajë
nosotros estaremos satisfechos (exclusivo),paxanë papenenajë
nosotros estaríamos satisfechos (exclusivo),paxanë papenejitsipajë
nosotros estamos satisfechos (inclusivo),waxaitsi peniatsi
nosotros estaremos satisfechos (inclusivo),waxaitsi penenatsi
nosotros estaríamos satisfechos (inclusivo),waxaitsi penejitsipatsi
ustedes están satisfechos; ustedes estuvieron satisfechos,paxamë papeniame
ustedes estarán satisfechos,paxamë papenename
ustedes estarían satisfechos,paxamë papenejitsipame
ellos están satisfechos; ellas están satisfechas,pamonae penia
ellos estarán satisfechos; ellas estarán satisfechas,pamonae penena
ellos estarían satisfechos; ellas estarían satisfechas,pamonae penejitsipa
¡esté satisfecho (usted)!,xamë penema
¡no esté satisfecho (usted)!,xamë pëtsa peniame
¡que esté satisfecho (él/ella)!,ponë/powa pene
¡que no esté satisfecho (él/ella)!,ponë/powa pëtsa penia
¡estén satisfechos (ustedes)!,paxamë papenema
¡no estén satisfechos (ustedes)!,paxamë pëtsa papeniame
¡que estén satisfechos (ellos/ellas)!,pamonae pene
¡que no estén satisfechos (ellos/ellas)!,pamonae pëtsa penia
negativo (prefijo),apo
yo no voy; yo no fui,xanë apoponaenë
usted no va; usted no fue,xamë apoponaemë
él no va; él no fue; ella no va; ella no fue,ponë/powa apoponae
nosotros no vamos (exclusivo); nosotros no fuimos (exclusivo),paxanë apopaponaenë
nosotros no vamos (inclusivo); nosotros no fuimos (inclusivo),waxaitsi apoponaetsi
ustedes no van; ustedes no fueron,paxamë apopaponaemë
ellos no van; ellos no fueron,pamonae apoponae
yo no iré,xanë apoponaenë tsane
usted no irá,xamë apoponaemë tsane
él no irá; ella no irá,ponë/powa apoponae tsane
nosotros no iremos (exclusivo),paxanë apopaponaenë tsane
nosotros no iremos (inclusivo),waxaitsi apoponaetsi tsane
ustedes no irán,paxamë apopaponaemë tsane
ellos no irán,pamonae apoponae tsane
yo no iría,xanë apoponaenë tsipae
usted no iría,xamë apoponaemë tsipae
él no iría; ella no iría,ponë/powa apoponae tsipae
nosotros no iríamos (exclusivo),paxanë apopaponaenë tsipae
nosotros no iríamos (inclusivo),waxaitsi apoponaetsi tsipae
ustedes no irían,paxamë apopaponaemë tsipae
ellos no irían,pamonae apoponae tsipae
Nosotros dos no iremos.,Apopaponaenëbeje tsane.
No duele.,Apoatane.
No es un perro.,Apoawiri.
No era yo.,Apoxanë.
cosa vieja,perujujawa
cosa grande; muchas cosas,ayaijawa
cosa pequeña; pocas cosas,tsiquirijawayo
cosa nueva,pejanajawa
cosa bonita; cosa buena,pexaniajawa
cosa fea; cosa mala,pibisiajawa
cosa grande,pinijijawa
otra cosa,itsajawa
toda la cosa,daxitajawa
cosa de tamaño mediano,pecunuajawa
cosa pequeña; pocas cosas (sinónimo),bepeyajajawayo
cosas pequeñas (plural),tsiquirijawaxi
cosa vieja,perujujawa
hombre viejo,perujunë
mujer vieja,perujuwa
personas viejas,perujuwi
costumbre vieja,perujucuëne
costumbre vieja (sinónimo),perujucujiru
casa vieja,perujubo
conuco viejo,perujupabi
todo; todos (pronombre),daxita
cosa para tapar los ojos (anteojos),penaitaxutoxatatsijawa
manejar,manejaba
pesar,pesaba
pesarse,napesaba
casarse,nacasaba
bautizarse,nabautisaba
casa pequeña,tsiquiriboyo
casa grande,ayaibo
¿sembró?,¿ubame?
"sí, sembré.","jaja, ubaje."
¿dónde sembró?,¿detsa jota ubame?
sembré en mi conuco.,tajapabita ubaje.
bien.,je.
sembrar,uba
trabajar,nacueneba
estudiar; aprender,nacujaruba
cenar; comer,nabane
leer,yoroba
arreglar; reparar,xanëba
enseñar,cujaruba
asar,seba
contar a,tsipaeba
dar medicina a,waeba
despresar; trinchar,thaba
mandar,itoroba
tener miedo,junawa
estar seco,tsewa
tener mala suerte (en cacería),cowa
morder,sine
probar (con la lengua),ejene
conuco; parcela sembrada; huerta,pabi
casa,bo
hamaca,bu
mujer,petiriwa
hombre,pebi
perro,awiri
gente,jiwi
verano; estación seca,wai
invierno; estación de lluvias,emarapae
¿dónde?; ¿en dónde?,¿detsa jota?
casa especial para dormir,tsoruato
no. (respuesta a una pregunta),jume
sí. (respuesta a una pregunta),jaja
bueno; bien. (respuesta a una orden o declaración),je
¿sí?; ¿verdad? (respuesta a información ofrecida),¿jai?
¿qué? (respuesta cuando alguien lo llama por nombre),jo / ju / jui
¿qué?; ¿cómo? (pregunta cuando no se oye bien),¿dera xua? / ¿de xua?
yo; me; (a) mí,xanë
tú; usted,xamë
él,ponë
ella,powa
nosotros (exclusivo),paxanë
nosotros (inclusivo),waxaitsi
ustedes,paxamë
ellos; ellas,pamonae
nosotros dos (exclusivo),paxanëbeje
nosotros dos (inclusivo),waxaitsibeje
nosotros dos (inclusivo),waxaibeje
ustedes dos,paxamëbeje
ellos dos (masculino),ponëbeje
ellas dos,powabeje
ellos dos (masculino y/o femenino),pajiwibeje
yo siembro; yo sembré,xanë ubaje
usted siembra; usted sembró,xamë ubame
él siembra; él sembró,ponë uba
ella siembra; ella sembró,powa uba
nosotros sembramos,paxanë paubaje
nosotros (todos) sembramos,waxaitsi ubatsi
ustedes siembran; ustedes sembraron,paxamë paubame
ellos siembran; ellos sembraron; ellas siembran; ellas sembraron,pamonae uba
yo sembraré,xanë ubianajë
usted sembrará,xamë ubianame
él sembrará; ella sembrará,ponë/powa ubiana
nosotros sembraremos,paxanë paubianajë
nosotros (todos) sembraremos,waxaitsi ubianatsi
ustedes sembrarán,paxamë paubianame
ellos sembrarán,pamonae ubiana
yo sembraría,xanë ubijitsipajë
usted sembraría,xamë ubijitsipame
él sembraría; ella sembraría,ponë/powa ubijitsipa
nosotros sembraríamos,paxanë paubijitsipajë
nosotros (todos) sembraríamos,waxaitsi ubijitsipatsi
ustedes sembrarían,paxamë paubijitsipame
ellos sembrarían,pamonae ubijitsipa
¡siembre (Ud.)!,xamë ubare
¡siembren (Uds.)!,paxamë paubare
¡que siembre (él/ella)!,ponë/powa ubi
¡que siembren (ellos)!,pamonae ubi
¡no siembre (Ud.)!,xamë petsa ubame
¡no siembren (Uds.)!,paxamë petsa paubame
¡que no siembre (él/ella)!,pone/powa petsa uba
¡que no siembren (ellos)!,pamonae petsa uba
primera persona sujeto,-je
segunda persona sujeto,-me
primera persona plural sujeto (incl.),-tsi
plural,pa-
futuro,-ana
potencial,-jitsipa
imperativo (segunda persona),-re
ellos dos siembran; ellos dos sembraron,ponebeje ubabeje
ellos dos sembrarán,ponebeje ubianabeje
ellos dos sembrarían,ponebeje ubijitsipabeje
ustedes dos siembran; ustedes dos sembraron,paxamëbeje paubamebeje
¡siembren (ustedes dos)!,paubarebeje
estar seco,tsewa
cenar,nabane
yo estoy seco; yo estuve seco,xanë tsewaje
yo estaré seco,xanë tsewianaje
yo estaría seco,xanë tsewijitsipaje
yo ceno; yo cené,xanë nabaneje
yo cenaré,xanë nabanianaje
yo cenaría,xanë nabanijitsipaje
botar; perder,xuaba
¡bote!; ¡pierda!,xuabare
¡bote!; ¡pierda! (forma corta),xuare
en la casa,bota
en el conuco,pabita
en el verano,waita
con sara,sarata
mi conuco,tajapabi
nuestro conuco (excl.),patajapabi
nuestro conuco (incl.),wajapabi
tu conuco,nijapabi
vuestro conuco,panijapabi
su conuco (de él/ella),pijapabi
su conuco (de ellos/ellas),pijapabi
posesivo de primera persona,taja-
posesivo de segunda persona,nija-
posesivo de segunda persona plural (incl.),waja-
posesivo de tercera persona (sing. or pl.),pija-
plural,pa-
tiempo-lugar-sujeto-verbo-complemento,orden preferido de la oración
un saludo interrogativo semejante a ¿qué tal?,¿Jica?
Sí. Aquí estoy (sentado). Siga.,Jaja. Ecajë rabaja. Jonemena.
Siéntese (literalmente: cuélgese también por un rato).,Narucatabare.
ver,tane
bañarse,nawane
comer,xane
oír,jumetane
regañar,bijatane
saber; conocer,yapëtane
orinar,narane
bañar (a un niño),matawane
beber; tomar,apa
voy a demorar (eufemismo para 'voy a defecar'),najematabianajë
voy a matar un tigre (eufemismo para 'voy a defecar' usado por hombres),newëthë bejitsianë
vergüenza,aura
pueblo; ciudad,tomara
río,mene
canoa,jera
hoyo; cavidad (excavación),methë
muy; mucho,bitso
¿a dónde?; ¿hacia dónde?,¿Detsa belia?
puerta,baupa
olla,waxi
canción; rezo,waji
historia,liwaisi
mostrar (una cosa),itajëta
mostrar a (una persona),tsitajëta
veo; vi,xanë tanejë/taniji
usted ve; usted vio,xamë taneme
él ve; ella ve,ponë/powa tane
nosotros vemos (exclusivo),paxanë patanejë/pataniji
nosotros vemos (inclusivo),waxaitsi tanetsi
ustedes ven; ustedes vieron,paxamë pataneme
ellos ven; ellos vieron,pamonae tane
veré,xanë taenajë
usted verá,xamë taename
él verá,ponë/powa taena
nosotros veremos (exclusivo),paxanë pataenajë
nosotros veremos (inclusivo),waxaitsi taenatsi
ustedes verán,paxamë pataename
ellos verán,pamonae taena
vería,xanë taejitsipajë
usted vería,xamë taejitsipame
¡vea (usted)!,xamë taema
¡no vea (usted)!,xamë pëtsa taneme
¡que vea (él/ella)!,ponë/powa tae
¡que no vea (él/ella)!,ponë/powa pëtsa tane
¡vean (ustedes)!,paxamë pataema
¡no vean (ustedes)!,paxamë pëtsa pataneme
¡que vean (ellos)!,pamonae tae
¡que no vean (ellos)!,pamonae pëtsa tane
yo ceno (forma dialectal),nabaniji
nosotros cenamos (forma dialectal),panabaniji
mano de él,pecobe
corazón de él,pejamatabëëthëto
nombre de él,pewënë
pie de él,petaxu
cabeza de él,pematabocoto
ojo de él,pitaxuto
bastimento (provisiones) de él,pemarue
sopa; pasta; puré,petsapato
pus,petsue
nido,pematapena
mi mano,xanë tacobe
tu mano; su mano (de usted),xamë necobe
su mano (de él/ella),ponë/powa pecobe
nuestra mano (exclusivo),paxanë patacobe
nuestra mano (inclusivo),waxaitsi wajacobe
su mano (de ustedes); vuestra mano,paxamë panecobe
su mano (de ellos),pamonae pecobe
mi (prefijo posesivo íntimo),ta-
tu (prefijo posesivo íntimo),ne-
"su (de él, ella o ellos; prefijo posesivo íntimo)",pe-
nuestro (exclusivo; prefijo posesivo íntimo),pata-
nuestro (inclusivo; prefijo posesivo íntimo),waja-
vuestro (su de ustedes; prefijo posesivo íntimo),pane-
carne (forma dependiente; no existe por sí solo),-wi
la carne de él (de su propio cuerpo),pewi
la carne de él (como carne de danta para comer),pijawi
palabra (forma dependiente),-jume
la palabra de él (lo que él dijo),pijume
el idioma de él,pijajume
el nombre de él (forma usada en el vocabulario),pewënë
"nombre de persona (en vez de pueblo, río, etc.)",jiwiwënë
nombre de perro,awiriwënë
nombre viejo,perujuwënë
otro nombre,itsawënë
conocer el nombre de él,wënëtane
sopa; pasta; puré,petsapato
mermelada,mermeladatsapato
mi dolor,xanë tatanejawa
tu dolor,xamë niatanejawa
su dolor (de él/ella),ponë/powa piatanejawa
nuestro dolor (exclusivo),paxanë pataatanejawa
nuestro dolor (inclusivo),waxaitsi wajaatanejawa
su dolor (de ustedes),paxamë paneatanejawa
su dolor (de ellos),pamonae piatanejawa
mi cintura,xanë taepasito
tu cintura,xamë nepasito
su cintura (de él/ella),ponë/powa pepasito
nuestra cintura (exclusivo),paxanë pataepasito
nuestra cintura (inclusivo),waxaitsi wajaepasito
su cintura (de ustedes),paxamë paneepasito
su cintura (de ellos),pamonae pepasito
mi ojo,xanë taitaxuto
tu ojo,xamë nitaxuto
su ojo (de él/ella),ponë/powa pitaxuto
nuestro ojo (exclusivo),paxanë pataitaxuto
nuestro ojo (inclusivo),waxaitsi wajaitaxuto
su ojo (de ustedes),paxamë paneitaxuto
su ojo (de ellos),pamonae pitaxuto
mi tocar (mi música),xanë taobijawa
tu tocar (tu música),xamë niobijawa
su tocar (su música de él/ella),ponë/powa piobijawa
nuestro tocar (nuestra música - exclusivo),paxanë pataobijawa
nuestro tocar (nuestra música - inclusivo),waxaitsi wajaobijawa
su tocar (su música de ustedes),paxamë paneobijawa
su tocar (su música de ellos),pamonae piobijawa
mis labios,xanë taupiyoroto
tus labios,xamë niupiyoroto
sus labios (de él/ella),ponë/powa piupiyoroto
nuestros labios (exclusivo),paxanë pataupiyoroto
nuestros labios (inclusivo),waxaitsi wajaupiyoroto
sus labios (de ustedes),paxamë paneupiyoroto
sus labios (de ellos),pamonae piupiyoroto
mis intestinos,xanë taënë
tus intestinos,xamë nënë
sus intestinos (de él/ella),ponë/powa pënë
nuestros intestinos (exclusivo),paxanë pataënë
nuestros intestinos (inclusivo),waxaitsi wajaënë
sus intestinos (de ustedes),paxamë paneënë
sus intestinos (de ellos),pamonae pënë
lengua de él,peebarëto
el que tiene gusanos,peorobinëtsi
lo que él sembró,peubijawa
celos de él,peëwijawa
por el pueblo; a través del pueblo,tomara
por el río; a través del río,menia
por el conuco; a través del conuco,pabia
por la sabana; a través de la sabana,wayafua
por la selva; a través de la selva,unua
por el hoyo; a través del hoyo,methëa
por la casa; a través de la casa,boya
hacia el pueblo; al pueblo,tomarabelia
hacia el río; al río,meniabelia
hacia el conuco; al conuco,pabiabelia
hacia la sabana; a la sabana,wayafuabelia
hacia la selva; a la selva,unuabelia
hacia el hoyo; al hoyo,methëabelia
hacia la casa; a la casa,boyabelia
Voy al conuco.,Pabiabelia ponajë.
Roberto va al río.,Roberto pona meniabelia.
Le duele la mano.,Acobetane.
Le duele el pie.,Ataxutane.
Le duele el ojo.,Aitaxutotane.
No tiene nombre.,Awënëjibi.
No tiene ojos.,Aitaxutojibi.
Al perro le duele.,Awiri atane.
No hay canoa.; No está la canoa.,Jera ajibi.
No hay casa.,Bo ajibi.
Me duele la mano.,Acobetanenë
Le duele la mano (a Ud.).,Acobetanemë
respetar (a autoridades o sabios),yaiyatane
"respetar (a ciertos familiares o suegros, evitando contacto/bromas)",uratane
colina; cerro,petsayto
camino,namuto
puente,imo
laguna,puca
Soy yo.,xanë raja.
Bien. Aquí estamos (sentados). Siga (entre).,Je. Paenajë rabaja. Jonomena.
Bueno (gracias).,Je.
Siéntese usted también.,Naecare.
Bueno (gracias).,Je.
Su mano (un saludo).,Necobeyo.
Bueno.,Je.
Su mano.,Necobeyo.
Bueno.,Je.
Saludos. (un saludo general sin traducción exacta en español),Jaco.
Bueno.,Je.
Saludos.,Jaco.
Bueno.,Je.
Saludos. (variante usada más por hombres),Bajaco.
murciélago,jawasirto
pájaro,bartsuito
ir,pona
hacer; dar a luz,exana
tener,xaina
estar cansado; estar débil,cuerana
cantar,naxeana
necesitar,namatawenona
estar mojado,sucuena
estar bueno,xanepana
ayudar,yawenona
pescar; cazar,jina
morir; privarse,tepa
salir,pitsapa
salvar; terminar; ser capaz de hacerlo,capanepa
querer; gustar,jitsipa
coser,joroca
pedir (más de una vez),wajëca
hoy,ajena
ayer,caniwi
por la tarde; la tarde,caniwiyo
por la mañana; la mañana,bajayacunua
si; cuando,itsa
porque,tsipaji
¿qué?,¿detsa xua?
¿por qué?,¿detsa xuajitsia?
¿cuándo?,¿detsa pacujinae?
muy; mucho,bitso
solamente,saya
¡quién sabe!; no sé,itsabo
estoy cansado porque sembré.,cueranajë tsipaji ubajë.
"si trabajas, estarás cansado.","itsa nacuenebame, cueranaename."
"si trabajaras, estarías cansado.","itsa nacuenebijitsipame, cueranaejitsipame."
yo voy; yo fui,xanë ponajë
usted va; usted fue,xamë poname
él va; él fue; ella va; ella fue,ponë/powa pona
nosotros vamos (exclusivo); nosotros fuimos,paxanë paponajë
nosotros vamos (inclusivo); nosotros fuimos,waxaitsi ponatsi
ustedes van; ustedes fueron,paxamë paponame
ellos van; ellos fueron; ellas van; ellas fueron,pamonae pona
yo iré,xanë ponaenajë
usted irá,xamë ponaename
él irá; ella irá,ponë/powa ponaena
nosotros iremos (exclusivo),paxanë paponaenajë
nosotros iremos (inclusivo),waxaitsi ponaenatsi
ustedes irán,paxamë paponaename
ellos irán; ellas irán,pamonae ponaena
yo iría,xanë ponaejitsipajë
usted iría,xamë ponaejitsipame
él iría; ella iría,ponë/powa ponaejitsipa
nosotros iríamos (exclusivo),paxanë paponaejitsipajë
nosotros iríamos (inclusivo),waxaitsi ponaejitsipatsi
ustedes irían,paxamë paponaejitsipame
ellos irían; ellas irían,pamonae ponaejitsipa
¡vaya (usted)!; ¡ve!,xamë ponare
¡no vaya (usted)!; ¡no vayas!,xamë pëtsa poname
¡vayan (ustedes)!,paxamë paponare
¡no vayan (ustedes)!,paxamë pëtsa paponame
¡que vaya (él/ella)!,ponë/powa ponae
¡que no vaya (él/ella)!,ponë/powa pëtsa pona
¡que vayan (ellos)!,pamonae ponae
¡que no vayan (ellos)!,pamonae pëtsa pona
tener tos,buxubatsi
carecer de habilidad o sabiduría para hacer una cosa,coxanatsi
tener la habilidad o sabiduría para hacer una cosa,cujanetsi
estar ocupado,enatsi
poder; tener el poder,caejëpatsi
estar enfermo; tener fiebre,romaebatsi
tener diarrea,suliabatsi
tener hipo,jëcëbatsi
padecer (una enfermedad); principiar (una enfermedad),capunatsi
tener rasquiña,tinetsi
haber sido quemado (por el fuego),tajuatsi
crecer (una mata),juwa
estar lleno (una cosa),wëneca
inundarse (la tierra),bubuta
despegarse (una cosa),sarasaraica
yo tengo tos; yo tuve tos,xanë nebuxuba
yo tendré tos,xanë nebuxubiana
yo tendría tos,xanë nebuxubijitsipa
usted tiene tos; usted tuvo tos,xamë cabuxuba
usted tendrá tos,xamë cabuxubiana
usted tendría tos,xamë cabuxubijitsipa
él tiene tos; ella tiene tos,ponë/powa buxubatsi
él tendrá tos; ella tendrá tos,ponë/powa buxubianatsi
él tendría tos; ella tendría tos,ponë/powa buxubijitsipatsi
nosotros tenemos tos (exclusivo); nosotros tuvimos tos (exclusivo),paxanë panebuxuba
nosotros tendremos tos (exclusivo),paxanë panebuxubiana
nosotros tendríamos tos (exclusivo),paxanë panebuxubijitsipa
nosotros tenemos tos (inclusivo); nosotros tuvimos tos (inclusivo),waxaitsi nacabuxuba
nosotros tendremos tos (inclusivo),waxaitsi nacabuxubiana
nosotros tendríamos tos (inclusivo),waxaitsi nacabuxubijitsipa
ustedes tienen tos; ustedes tuvieron tos,paxamë pacabuxuba
ustedes tendrán tos,paxamë pacabuxubiana
ustedes tendrían tos,paxamë pacabuxubijitsipa
ellos tienen tos; ellos tuvieron tos,pamonae buxubatsi
ellos tendrán tos,pamonae buxubianatsi
ellos tendrían tos,pamonae buxubijitsipatsi
¡tenga tos (usted)!,xamë cabuxubi
¡no tenga tos (usted)!,xamë pëtsa cabuxuba
¡tengan tos (ustedes)!,paxamë pacabuxubi
¡no tengan tos (ustedes)!,paxamë pëtsa pacabuxuba
¡que tenga tos (él/ella)!,ponë/powa buxubitsi
¡que no tenga tos (él/ella)!,ponë/powa pëtsa buxubatsi
¡que tengan tos (ellos)!,pamonae buxubitsi
¡que no tengan tos (ellos)!,pamonae pëtsa buxubatsi
primera persona complemento,ne-
segunda persona complemento,ca-
primera persona plural complemento (inclusivo),naca-
plural,pa-
Tengo tos. (A mí me dio tos.),Nebuxuba
Estoy ocupado. (Me tiene ocupado.),Neena
Puedo. (Literalmente: Me alcanza.),Necaejëpa
(El hombre) fue quemado (por el fuego).,Tajuatsi
La casa fue quemada (se quemó).,Bo tajua
Nosotros dos tenemos tos.,Nacabuxubabeje
Ellos dos tienen tos.,Buxubatsibeje
Estúdielo usted (más tarde).,Nacujarubianame
Estúdielo usted (ya).,Nacujarubare
Que lo siembre él (más tarde).,Ubiana
Que lo siembre él (ya).,Ubi
Vamos (ya).,Ponatsi
Vamos los dos (ya).,Ponatsibeje
Vamos (más tarde).,Ponaenatsi
Vamos los dos (más tarde).,Ponaenatsibeje
abuela,acue
venga,namo
zorro,namo
lavar,quiata
está sentado,eca
están sentados,ena
puente,imo
casa,bo
selva,unu
humo,etsexe
picure,bene
trompo,jojoto
sí,jaja
sonido de escopeta,tajai
estar casi hirviendo,sebia
sonido de trompo,jojojai
ladrar,jojojai
regresar (varias personas),nawiaba
regresar (una persona),nawiata
frutos,pecuai
hablar,cuaicuaijai
pariente menor,ujue
hamaca,bu
sembrar,uba
talego,doro
gaviota,acadale
doblar,fuca
irse hacia el norte o sur,lia
colgarse o acostarse,ruca
ratón,iri
ratón fara,wani
gavilán,awa
reparar o arreglar,xaneba
despresar,thaba
repartir,tsata
incendio (en la sabana),nawa
vestido,nawa
irse,pona
hierba,pona
llevar,capona
burlar,capona
pez curito,cocoto
mariposa,cocoto
me pegó,neconita
él fue castigado,neconita
hoy,ajena
apenas,ajena
estuvimos sentados,enatsi
él está ocupado,enatsi
¡llámelo!,junare
¡súbase!,junare
dicen que trabajaron para ustedes,pacatonacueneba pina
tal vez no sembró,apoubi meta
firmamento,nacuaitaboxo
nos mandó,nacaitoroba
siempre nos espera,nacaewetabiaba
siempre espera la muerte,nacaewetabiaba
pero ustedes no creen lo que les decimos,itsiata baitsi jane patacajumaitsijumebeje apopanejumecowenëtsimëbeje
negro,tsaebia
amarillo,wayana
viejo,peruju-
Somos nosotros dos.,Paxanëbeje raja.
Bien. Estoy (sentado) aquí. Sigan (los dos).,Je. Ecajë rabaja. Pajonemenabeje.
Bueno. (Entran.),Je.
Ahí está el banco (o tronco). Siéntense (los dos).,Naejawayo nuca. Paecarebeje.
Bueno.,Je.
Su mano.,Necobeyo.
Bien.,Je.
Su mano.,Necobeyo.
Bien.,Je.
su mano (forma no diminutiva),necobe
estera,tulima
cocinar,seta
